,Date + Block,Date,Block,Solar_Sch,Wind_Sch,Hyb_Sch,Declared_Plant_Schedule,Plant_AvC,Declared_Hybrid_Schedule,Total_Hybrid_Solar,Total_Hybrid_Wind,Solar_AvC,Wind_AvC,Hybrid_AvC_Input,Hybrid_AvC_Cap,Capped_Solar_AvC,Capped_Wind_AvC,Hybrid_AvC,GDAM,Adjusted_Sch,Linde_Contract_Total,Linde_Actual_Demand,Linde_Additional_Energy,RTM_Available,GDAM_Solar,RTM_Solar,GDAM_Wind,RTM_Wind,Chemfab Demand Schedule_Solar,Chemfab Demand Schedule_Wind,Green Valley Demand Schedule_Solar,Green Valley Demand Schedule_Wind,Linde Dahej Demand Schedule_Solar,Linde Dahej Demand Schedule_Wind,Linde Hyderabad Demand Schedule_Solar,Linde Hyderabad Demand Schedule_Wind,Linde Kalinganagar Demand Schedule_Solar,Linde Kalinganagar Demand Schedule_Wind,Linde Ludhiana Demand Schedule_Solar,Linde Ludhiana Demand Schedule_Wind,Linde Rourkela 2 Demand Schedule_Solar,Linde Rourkela 2 Demand Schedule_Wind,Linde Rourkela Demand Schedule_Solar,Linde Rourkela Demand Schedule_Wind,Linde Selaqui Demand Schedule_Solar,Linde Selaqui Demand Schedule_Wind,Linde Sri City Demand Schedule_Solar,Linde Sri City Demand Schedule_Wind
96,461821,2026-06-09T00:00:00.000,1,0,67,67,67,200,67,0,67,68,132,200,200,68,132,200,0,67,29,26.3,2.7,25.7,0,0,0,25.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,7.5,0,6.8
97,461822,2026-06-09T00:00:00.000,2,0,64,64,64,200,64,0,64,68,132,200,200,68,132,200,0,64,29,26.3,2.7,22.7,0,0,0,22.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,7.5,0,6.8
98,461823,2026-06-09T00:00:00.000,3,0,63,63,63,200,63,0,63,68,132,200,200,68,132,200,0,63,29,26.3,2.7,21.7,0,0,0,21.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,7.5,0,6.8
99,461824,2026-06-09T00:00:00.000,4,0,64,64,64,200,64,0,64,68,132,200,200,68,132,200,0,64,29,26.3,2.7,22.7,0,0,0,22.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,7.5,0,6.8
100,461825,2026-06-09T00:00:00.000,5,0,63,63,63,200,63,0,63,68,132,200,200,68,132,200,0,63,29,26.3,2.7,21.7,0,0,0,21.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,7.5,0,6.8
101,461826,2026-06-09T00:00:00.000,6,0,61,61,61,200,61,0,61,68,132,200,200,68,132,200,0,61,29,26.3,2.7,19.7,0,0,0,19.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,7.5,0,6.8
102,461827,2026-06-09T00:00:00.000,7,0,59,59,59,200,59,0,59,68,132,200,200,68,132,200,0,59,29,26.3,2.7,17.7,0,0,0,17.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,7.5,0,6.8
103,461828,2026-06-09T00:00:00.000,8,0,57,57,57,200,57,0,57,68,132,200,200,68,132,200,0,57,29,26.3,2.7,15.7,0,0,0,15.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,7.5,0,6.8
104,461829,2026-06-09T00:00:00.000,9,0,56,56,56,200,56,0,56,68,132,200,200,68,132,200,0,56,29,26.3,2.7,14.7,0,0,0,14.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,7.5,0,6.8
105,4618210,2026-06-09T00:00:00.000,10,0,56,56,56,200,56,0,56,68,132,200,200,68,132,200,0,56,29,26.3,2.7,14.7,0,0,0,14.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,7.5,0,6.8
